site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
Anheuser-Busch Baldwinsville,-76.41484,43.151537,2.8,NYISO,NY,solar,existing,TRUE,61575,0,0,2.8,1.4,43.151537,2800,6.879781307,CENTRL
Baer Road CSG,-75.068,41.797,2.7,NYISO,NY,solar,existing,TRUE,62034,0,0,2.7,1.35,41.797,2700,6.822452566,MHK VL
Bakerstand Solar,-78.548635,42.35062,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,42.35062,28000,5.963365174,WEST
Barneveld Solar,-75.17722,43.251388,1.4,NYISO,NY,solar,existing,TRUE,63279,0,0,1.4,1.4,43.251388,1400,7.463167775,MHK VL
Bear_Ridge_Solar,-78.747459,43.102145,145,NYISO,NY,solar,planned,TRUE,,0,0,,1.45,43.102145,145000,6.523800614,WEST
Beardslee Solar,-74.874104,43.163059,26.66666667,NYISO,NY,solar,planned,TRUE,,0,2,,1.333333333,0,26666.66667,6.74494794,MHK VL
Bennett,-77.472,42.936,2,NYISO,NY,solar,existing,TRUE,63410,2,2,2,1.428571429,0,2000,7.074267465,WEST
Bethlehem - East,-73.8243,42.539006,2.4,NYISO,NY,solar,existing,TRUE,60477,0,0,2.4,1.411764706,42.539006,2400,7.351417592,CAPITL
Bethlehem - West,-73.8243,42.539006,1.2,NYISO,NY,solar,existing,TRUE,60478,0,0,1.2,1.2,42.539006,1200,7.020167234,CAPITL
Bethlehem_Solar,-73.88742,42.601145,2.2,NYISO,NY,solar,existing,TRUE,63079,0,2,2.2,1.294117647,0,2200,6.913770702,CAPITL
Blydenburgh Solar Project,-73.18241,40.815331,2.3,NYISO,NY,solar,existing,TRUE,61900,0,0,2.3,1.533333333,40.815331,2300,6.80098604,LONGIL
Boas Rd #1 Community Solar Farm,-73.67238,44.934274,2.9,NYISO,NY,solar,existing,TRUE,62530,0,0,2.9,1.45,44.934274,2900,6.528906815,NORTH
Boas Rd #2 Community Solar Farm,-73.67122,44.933177,2.8,NYISO,NY,solar,existing,TRUE,62531,0,0,2.8,1.4,44.933177,2800,6.571567654,NORTH
Boas Rd #3 Community Solar Farm,-73.66933,44.933525,2.8,NYISO,NY,solar,existing,TRUE,62532,0,0,2.8,1.4,44.933525,2800,6.937071639,NORTH
Branscomb Solar,-76.317414,42.236393,30,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.236393,30000,6.007593396,CENTRL
Breesport Road Community Solar Farm,-76.713,42.088,2.8,NYISO,NY,solar,existing,TRUE,62157,0,0,2.8,1.4,42.088,2800,6.887481923,CENTRL
Brentwood Solar,-73.24389,40.781389,1,NYISO,NY,solar,existing,TRUE,58785,0,0,1,1,40.781389,1000,6.865750998,LONGIL
Broadalbin,-74.15489,43.061306,3,NYISO,NY,solar,existing,TRUE,61847,0,0,3,1.5,43.061306,3000,7.324806319,CAPITL
Broadalbin-Perth Solar,-74.19184,43.018029,1.9,NYISO,NY,solar,existing,TRUE,61958,0,0,1.9,1.266666667,43.018029,1900,7.162711323,CAPITL
Brookside Solar,-74.338748,44.592749,135,NYISO,NY,solar,planned,TRUE,,0,2,,1.35,0,135000,6.642191369,MHK VL
Broome County,-75.93073,42.104731,4.6,NYISO,NY,solar,existing,TRUE,60507,0,2,4.6,1.15,0,4600,6.647303528,CENTRL
Bull Run Solar Energy Center,-73.818961,44.933448,204,NYISO,NY,solar,planned,TRUE,,1,0,,1.2,44.933448,204000,6.112988211,NORTH
Calabro Airport North Solar Project,-72.875,40.8224,1.8,NYISO,NY,solar,existing,TRUE,63497,0,0,1.8,1.384615385,40.8224,1800,6.04035893,LONGIL
Calabro Airport South Solar Project,-72.85705,40.811524,1.7,NYISO,NY,solar,existing,TRUE,63498,0,0,1.7,1.416666667,40.811524,1700,6.3138567,LONGIL
Call Farms 1,-78.1873,43.037794,2.9,NYISO,NY,solar,existing,TRUE,61470,0,0,2.9,1.45,43.037794,2900,6.968992964,WEST
Call Farms 3,-78.17859,43.023046,2.8,NYISO,NY,solar,existing,TRUE,61471,0,0,2.8,1.4,43.023046,2800,6.353634183,WEST
Calverton,-72.7437,40.921086,3.9,NYISO,NY,solar,existing,TRUE,60452,0,0,3.9,1,40.921086,3900,7.04458839,LONGIL
Calverton_Solar_Energy_Center,-72.743433,40.906487,33.205,NYISO,NY,solar,planned,TRUE,,0,0,,1.45,40.906487,33205,6.550931337,LONGIL
Camden CSD Solar Array,-75.69526,43.312306,2.4,NYISO,NY,solar,existing,TRUE,61604,0,2,2.4,1.333333333,0,2400,6.77953417,MHK VL
Canandaigua Solar Array,-77.28456,42.86887,2.5,NYISO,NY,solar,existing,TRUE,61043,0,0,2.5,1.25,42.86887,2500,6.584253355,GENESE
Canandaigua Westbrook Solar Array,-77.28446,42.869086,2,NYISO,NY,solar,existing,TRUE,61042,0,0,2,1.25,42.869086,2000,6.807551552,GENESE
Catlin Solar 1 LLC,-76.95398,42.285942,6.1,NYISO,NY,solar,existing,TRUE,63372,0,0,6.1,1.525,42.285942,6100,6.652614676,CENTRL
Cayuga Solar,-76.473712,42.453281,293.25,NYISO,NY,solar,planned,FALSE,,0,0,,1.416666667,42.453281,293250,6.838426927,CENTRL
CBP Solar,-73.94688,41.266188,2.4,NYISO,NY,solar,existing,TRUE,62613,0,0,2.4,1.333333333,41.266188,2400,7.184516341,MILLWD
"CDG Owego 2, LLC",-76.29745,42.178057,27.44,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,42.178057,27440,5.986419159,CENTRL
Cedar Creek PV,-73.50667,40.64889,2.7,NYISO,NY,solar,existing,TRUE,61376,0,0,2.7,1.5,40.64889,2700,6.777584644,LONGIL
Chenango Solar,-75.92728,42.198167,6.1,NYISO,NY,solar,existing,TRUE,63450,0,0,6.1,1.244897959,42.198167,6100,7.169533554,CENTRL
Chester CSG,-74.288,41.339,2.7,NYISO,NY,solar,existing,TRUE,62761,0,0,2.7,1.35,41.339,2700,6.825583399,HUD VL
Cider Solar,-78.156404,42.983769,700,NYISO,NY,solar,planned,TRUE,,0,2,,1.4,0,700000,6.70057669,WEST
City of Rochester Solar,-77.67851,43.176918,2.6,NYISO,NY,solar,existing,TRUE,61804,0,0,2.6,1.444444444,43.176918,2600,7.374040872,GENESE
"CJ Solar I, LLC",-75.3,44.7,2.8,NYISO,NY,solar,existing,TRUE,61719,0,0,2.8,1.4,44.7,2800,7.067324438,MHK VL
Clarkson Solar,-74.94944,44.671944,2.3,NYISO,NY,solar,existing,TRUE,59623,0,0,2.3,1.15,44.671944,2300,6.835688904,MHK VL
Clarkstown Landfill Solar Facility,-73.95159,41.100409,2,NYISO,NY,solar,existing,TRUE,60004,1,0,2,1,41.100409,2000,6.832166409,HUD VL
Clay Solar,-76.196117,43.00653,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.00653,30000,6.391520699,CENTRL
Clear View Solar,-77.385525,42.266725,20,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.266725,20000,6.412581722,CENTRL
CMR Solar LLC,-74.34591,41.561847,2.8,NYISO,NY,solar,existing,TRUE,62486,0,0,2.8,1.4,41.561847,2800,7.468799015,HUD VL
Cobleskill Solar Project,-74.485426,42.677851,29.7,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.677851,29700,6.796682581,CAPITL
Cohalan,-73.19444,40.762465,4.4,NYISO,NY,solar,existing,TRUE,58790,0,0,4.4,1.1,40.762465,4400,7.671128723,LONGIL
Columbia County 1,-73.626805,42.247729,70.8,NYISO,NY,solar,planned,FALSE,,0,2,,1.18,0,70800,5.58298181,CAPITL
Columbia Solar Energy Center,-75.037751,42.93801,525,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.93801,525000,7.085852429,MHK VL
Columbia University - Johnson Farms,-74.2638,41.379107,2.9,NYISO,NY,solar,existing,TRUE,61576,0,0,2.9,1.45,41.379107,2900,6.646714749,HUD VL
Columbia University - Minisink,-74.55445,41.293747,2.9,NYISO,NY,solar,existing,TRUE,61578,0,0,2.9,1.45,41.293747,2900,6.351401297,HUD VL
Cornell Geneva Solar Farm,-77.031,42.866,2.8,NYISO,NY,solar,existing,TRUE,60150,0,0,2.8,1.4,42.866,2800,6.676269766,CENTRL
Cornell Snyder Road Solar Array,-76.46,42.4975,1.8,NYISO,NY,solar,existing,TRUE,59470,0,0,1.8,1,42.4975,1800,6.816916796,CENTRL
Cortland Energy Center,-75.992765,42.544092,74.5625,NYISO,NY,solar,planned,TRUE,,0,0,,1.49125,42.544092,74562.5,6.382726296,CENTRL
"COU Solar I, LLC",-75.3,44.7,1.9,NYISO,NY,solar,existing,TRUE,61720,0,0,1.9,1.266666667,44.7,1900,6.972832232,MHK VL
Coverdale Solar,-77.76978,42.727485,29,NYISO,NY,solar,planned,FALSE,,0,0,,1.45,42.727485,29000,6.049676315,WEST
CS Hawthorn Solar,-73.670848,42.715745,27.14285714,NYISO,NY,solar,planned,TRUE,,0,2,,1.357142857,0,27142.85714,6.662308209,CAPITL
"Cummins, Inc",-79.36125,42.08124,2,NYISO,NY,solar,existing,TRUE,60453,0,0,2,1,42.08124,2000,6.012852616,WEST
Czub CSG,-73.59598,42.91408,3,NYISO,NY,solar,existing,TRUE,63057,0,2,3,1.5,0,3000,6.419235956,CAPITL
Darby Solar,-73.535176,43.028806,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,43.028806,28000,6.189572682,CAPITL
Declaration Energy Center,-76.827088,42.782294,478.9473684,NYISO,NY,solar,planned,FALSE,,0,0,,1.368421053,42.782294,478947.3684,5.822484849,CENTRL
Deer Park,-73.19389,40.760833,3,NYISO,NY,solar,existing,TRUE,58786,0,0,3,1.2,40.760833,3000,6.911604774,LONGIL
Delight Farm,-76.574587,43.008546,23.52,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,43.008546,23520,6.552457671,CENTRL
Dennison,-73.32361,40.763056,2,NYISO,NY,solar,existing,TRUE,58787,0,0,2,1,40.763056,2000,6.890926491,LONGIL
Dog Corners Solar,-76.661804,42.747193,28,NYISO,NY,solar,planned,TRUE,,0,2,,1.4,0,28000,6.483124475,CENTRL
Dolan Solar,-73.439428,43.312377,28,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,43.312377,28000,6.508596106,CAPITL
Dover CSG,-73.57657,41.680879,3.1,NYISO,NY,solar,existing,TRUE,63106,0,2,3.1,1.55,0,3100,6.623248972,HUD VL
Dryden Rd #2 Community Solar Farm CSG,-76.31998,42.487821,1.7,NYISO,NY,solar,existing,TRUE,62477,0,0,1.7,1.307692308,42.487821,1700,7.328837117,CENTRL
Duanesburg,-74.20155,42.762173,3,NYISO,NY,solar,existing,TRUE,61863,0,0,3,1.5,42.762173,3000,6.501233138,CAPITL
East Light Energy Center,-74.452565,42.915521,50,NYISO,NY,solar,planned,TRUE,,0,0,,1.25,42.915521,50000,6.169661192,CAPITL
East Point Solar,-74.439909,42.591982,50,NYISO,NY,solar,planned,TRUE,,0,2,,1,0,50000,6.26250417,CAPITL
Ellis Solar,-76.433751,42.448941,27,NYISO,NY,solar,existing,TRUE,62413,0,0,27,1.5,42.448941,27000,6.567171754,CENTRL
Ellsworth I CSG,-73.7098,42.899313,3.1,NYISO,NY,solar,existing,TRUE,63112,0,2,3.1,1.55,0,3100,6.79509067,CAPITL
ELP Rotterdam Solar,-74.043583,42.817542,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,42.817542,30000,6.399817159,CAPITL
ELP Stillwater Solar,-73.855387,43.106135,25,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,43.106135,25000,6.625014211,CAPITL
Empire Solar,-79.407595,42.304216,236.85,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,42.304216,236850,7.021085274,WEST
Enfield Community Solar,-76.59481,42.453307,2.3,NYISO,NY,solar,existing,TRUE,62029,0,0,2.3,1.277777778,42.453307,2300,6.164968135,CENTRL
Erie-Wyoming County Solar,-78.228567,42.701363,218.75,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,42.701363,218750,6.068307285,WEST
Excelsior Energy Center,-78.156443,42.983784,420,NYISO,NY,solar,planned,TRUE,,0,2,,1.5,0,420000,6.416510291,WEST
Fairway Solar,-75.074311,44.488113,25,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,44.488113,25000,6.776659221,MHK VL
Farwell Solar,-78.23164,43.25328,30,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,43.25328,30000,6.518983254,WEST
Finger Lakes Solar I,-77.04563,42.814025,2.9,NYISO,NY,solar,existing,TRUE,61210,0,0,2.9,1.45,42.814025,2900,6.351330739,CENTRL
Flat Creek Solar,-74.435358,42.900891,220,NYISO,NY,solar,planned,FALSE,,0,0,,1.1,42.900891,220000,6.699620577,CAPITL
Flat Creek Solar 2,-74.435358,42.900891,100,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.900891,100000,7.10109353,CAPITL
Flat Hill Solar,-74.874104,43.163059,29,NYISO,NY,solar,planned,TRUE,,0,0,,1.45,43.163059,29000,6.005131896,MHK VL
Flint_Mine_Solar,-73.841342,42.322371,100,NYISO,NY,solar,planned,TRUE,,0,2,,1,0,100000,6.906581428,HUD VL
Forrence Orchards,-73.705648,44.75271,27.72,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,44.75271,27720,6.064501954,NORTH
Fort Edward Solar Farm (NY53),-73.439428,43.312377,125,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,43.312377,125000,6.810362339,CAPITL
Franklin Solar,-74.31067,44.594374,225,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,44.594374,225000,6.630872055,MHK VL
Franklin Solar Site,-74.30652,44.86832,2.1,NYISO,NY,solar,existing,TRUE,62784,0,0,2.1,1.3125,44.86832,2100,7.049349411,MHK VL
Frog Hollow CSG,-74.49671,41.739327,2,NYISO,NY,solar,existing,TRUE,63086,0,2,2,1,0,2000,6.35138243,HUD VL
Garnet Energy Center,-76.548645,42.765943,250,NYISO,NY,solar,planned,TRUE,,0,0,,1.25,42.765943,250000,6.319050285,CENTRL
Garnet Solar (NY),-74.06238,43.723851,2.6,NYISO,NY,solar,existing,TRUE,62843,0,0,2.6,1.368421053,43.723851,2600,6.935816606,CAPITL
Gaskill Rd Community Solar Farm CSG,-76.183,42.116,6.3,NYISO,NY,solar,existing,TRUE,62474,0,0,6.3,1.26,42.116,6300,7.087316875,CENTRL
Gedney Hill Solar,-73.891381,42.453938,24,NYISO,NY,solar,planned,TRUE,,0,0,,1.2,42.453938,24000,6.4378659,HUD VL
Genesee Road Solar Energy Center,-78.688302,42.552555,402.5,NYISO,NY,solar,planned,TRUE,,0,2,,1.15,0,402500,6.458502523,WEST
Gifford CSG,-74.07086,42.82395,3,NYISO,NY,solar,existing,TRUE,63056,0,2,3,1.5,0,3000,6.725960592,CAPITL
Gore Mountain Solar II,-73.32307,43.543378,2.5,NYISO,NY,solar,existing,TRUE,61764,0,0,2.5,1.25,43.543378,2500,6.245282347,CAPITL
Grand Prix Solar,-73.72252,41.21125,1.9,NYISO,NY,solar,existing,TRUE,63291,0,0,1.9,1,41.21125,1900,7.177989681,MILLWD
Grassy Knoll Solar,-74.96053,43.461515,20,NYISO,NY,solar,planned,TRUE,,0,0,,1,43.461515,20000,6.572277019,MHK VL
Greene County 1,-74.149495,42.286951,20,NYISO,NY,solar,planned,FALSE,,0,2,,1,0,20000,6.528136721,MHK VL
Greene County 2,-74.149495,42.286951,10,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.286951,10000,6.618659132,MHK VL
Greene County 3,-74.149495,42.286951,28.23529412,NYISO,NY,solar,planned,FALSE,,0,0,,1.411764706,42.286951,28235.29412,6.615457281,MHK VL
Greene County Energy,-74.149495,42.286951,26,NYISO,NY,solar,planned,FALSE,,0,2,,1.3,0,26000,5.937967504,MHK VL
Greenville CSG,-74.622,41.356,2.8,NYISO,NY,solar,existing,TRUE,62759,0,0,2.8,1.4,41.356,2800,7.040319016,HUD VL
Grissom Solar,-74.241409,43.132673,20,NYISO,NY,solar,planned,TRUE,,0,2,,1,0,20000,6.343450219,CAPITL
Guildlerland CSG,-74.00081,42.727288,3,NYISO,NY,solar,existing,TRUE,63052,0,2,3,1.5,0,3000,6.825038322,CAPITL
Half Moon Solar,-73.513845,42.710421,26.15384615,NYISO,NY,solar,planned,FALSE,,0,0,,1.307692308,42.710421,26153.84615,6.400805249,CAPITL
Hampton Corners Solar,-77.76978,42.727485,23,NYISO,NY,solar,planned,FALSE,,0,0,,1.15,42.727485,23000,6.336099641,WEST
Harford Solar Farm,-76.245,42.448,2.8,NYISO,NY,solar,existing,TRUE,61030,0,0,2.8,1.4,42.448,2800,6.941391164,CENTRL
Hatchery Solar,-77.836443,42.757573,30,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.757573,30000,6.267342124,WEST
HGS Solar I,-73.32526,43.543716,2.8,NYISO,NY,solar,existing,TRUE,61765,0,0,2.8,1.4,43.543716,2800,6.68967694,CAPITL
High River Solar,-74.043583,42.817542,128.5714286,NYISO,NY,solar,planned,FALSE,,0,0,,1.428571429,42.817542,128571.4286,6.410573332,CAPITL
Highview Solar,-78.228567,42.701363,20,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.701363,20000,6.537707569,WEST
Hills Solar,-74.958161,43.461722,25,NYISO,NY,solar,planned,TRUE,,0,2,,1.25,0,25000,5.870344743,MHK VL
Hilltop Solar,-73.513845,42.710421,23.6,NYISO,NY,solar,planned,FALSE,,0,0,,1.18,42.710421,23600,6.240909424,CAPITL
Hobart & William Smith College Gates Rd.,-77.05058,42.86228,2.6,NYISO,NY,solar,existing,TRUE,63297,0,0,2.6,5.2,42.86228,2600,6.890715064,CENTRL
Holley Road Solar,-78.146546,43.230763,26.11875,NYISO,NY,solar,planned,TRUE,,0,2,,1.3125,0,26118.75,6.687748732,WEST
Hollygrove CSG,-76.7217,43.26034,3,NYISO,NY,solar,existing,TRUE,63051,0,2,3,1.5,0,3000,6.669993952,GENESE
Holtsville Solar Project,-73.03398,40.797667,1.7,NYISO,NY,solar,existing,TRUE,61902,0,0,1.7,1.416666667,40.797667,1700,6.380061086,LONGIL
Homer Solar Energy Center,-76.178817,42.637014,140,NYISO,NY,solar,planned,TRUE,,0,0,,1.555555556,42.637014,140000,6.5112049,CENTRL
Homer Street East,-78.44095,42.099342,2,NYISO,NY,solar,existing,TRUE,62725,0,0,2,1.25,42.099342,2000,6.887501155,WEST
Homer Street West,-78.44229,42.098128,2,NYISO,NY,solar,existing,TRUE,62724,0,0,2,1.25,42.098128,2000,5.984795074,WEST
Hope Solar Farm LLC,-73.60213,42.726428,2.9,NYISO,NY,solar,existing,TRUE,63371,0,0,2.9,1.45,42.726428,2900,7.222886613,CAPITL
Horseshoe Solar,-77.76978,42.727485,180,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.727485,180000,6.760537472,WEST
Hospital Rd Community Solar Farm CSG,-75.03607,41.774772,1.7,NYISO,NY,solar,existing,TRUE,62155,0,0,1.7,1.214285714,41.774772,1700,6.940208684,MHK VL
Houghton,-78.15659,42.426731,2.6,NYISO,NY,solar,existing,TRUE,60454,0,0,2.6,1,42.426731,2600,6.852950769,GENESE
Howland CSG,-76.08921,43.63481,3,NYISO,NY,solar,existing,TRUE,63055,0,2,3,1.5,0,3000,6.039371904,CENTRL
"IRE Solar I, LLC",-75.5,44.3,1.4,NYISO,NY,solar,existing,TRUE,61717,0,0,1.4,1.4,44.3,1400,7.000047201,MHK VL
Janis Solar,-75.911588,42.469238,26.66666667,NYISO,NY,solar,planned,TRUE,,0,0,,1.333333333,42.469238,26666.66667,6.540967515,CENTRL
Jaton,-76.209258,43.461443,20.96470588,NYISO,NY,solar,planned,FALSE,,0,0,,1.294117647,43.461443,20964.70588,6.253838839,CENTRL
Jefferson-Lewis BOCES Solar,-75.96981,43.970958,2.4,NYISO,NY,solar,existing,TRUE,60819,1,0,2.4,1.2,43.970958,2400,7.513794263,MHK VL
Johnstown,-74.31479,42.999179,3,NYISO,NY,solar,existing,TRUE,61888,0,0,3,1.5,42.999179,3000,6.545357498,CAPITL
Johnstown Solar,-74.043583,42.817542,21.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.075,42.817542,21500,6.679527916,CAPITL
"Johnstown Solar 1, LLC",-74.3228,43.0724,4.3,NYISO,NY,solar,existing,TRUE,63013,0,0,4.3,1.075,43.0724,4300,6.827097652,CAPITL
K. High,-77.063164,43.458758,22.671,NYISO,NY,solar,planned,FALSE,,0,0,,1.145,43.458758,22671,6.248186373,GENESE
Katrina Falls,-74.76468,41.720176,25.32727273,NYISO,NY,solar,planned,FALSE,,0,2,,1.272727273,0,25327.27273,6.658113186,MHK VL
Kearsarge Johnstown 1 CSG,-74.36018,43.066012,2,NYISO,NY,solar,existing,TRUE,62549,0,0,2,1.333333333,43.066012,2000,6.831344327,CAPITL
Kearsarge Johnstown 2 CSG,-74.36022,43.064422,2.8,NYISO,NY,solar,existing,TRUE,62556,0,0,2.8,1.4,43.064422,2800,6.460688146,CAPITL
Kearsarge Oppenheim CSG,-74.73642,43.060223,1.9,NYISO,NY,solar,existing,TRUE,61917,0,0,1.9,1.357142857,43.060223,1900,6.302739576,CAPITL
Kinder Morgan Fordham,-74.23658,40.542557,3.1,NYISO,NY,solar,existing,TRUE,62614,0,0,3.1,1.823529412,40.542557,3100,6.711711393,N.Y.C.
Kingbird Solar,-79.407595,42.304216,29,NYISO,NY,solar,planned,FALSE,,0,0,,1.45,42.304216,29000,6.541413707,WEST
Kings Park Solar I,-73.24928,40.868294,3,NYISO,NY,solar,existing,TRUE,59880,0,0,3,1.5,40.868294,3000,6.538775696,LONGIL
Kings Park Solar II,-73.24928,40.868294,3,NYISO,NY,solar,existing,TRUE,59881,0,0,3,1.5,40.868294,3000,6.789094793,LONGIL
Knaggs Brothers Farm,-73.9691,42.73035,5.5,NYISO,NY,solar,existing,TRUE,63230,0,0,5.5,5,42.73035,5500,6.578329305,CAPITL
Knickerbocker Solar,-73.513845,42.710421,27,NYISO,NY,solar,planned,FALSE,,0,0,,1.35,42.710421,27000,6.222250686,CAPITL
Lacona Solar,-76.068536,43.643401,20,NYISO,NY,solar,planned,TRUE,,0,0,,1,43.643401,20000,6.210531943,CENTRL
Leavenworth_Greenworks_LLC,-72.890291,40.942311,14.25,NYISO,NY,solar,existing,TRUE,59276,0,0,14.25,1.5,40.942311,14250,7.07286728,LONGIL
Letchworth Solar Project,-78.17952,42.618969,1.2,NYISO,NY,solar,existing,TRUE,61389,0,0,1.2,1,42.618969,1200,6.732458688,GENESE
Lichtenthal,-78.15818,43.020053,2.8,NYISO,NY,solar,existing,TRUE,61469,0,0,2.8,1.4,43.020053,2800,6.957244688,WEST
Limestone Solar,-73.982996,42.849339,22.8,NYISO,NY,solar,planned,TRUE,,0,0,,1.14,42.849339,22800,6.394037784,CAPITL
Lincoln Ave Solar Project,-73.08344,40.78144,3,NYISO,NY,solar,existing,TRUE,61899,0,0,3,1.5,40.78144,3000,7.146410287,LONGIL
Little Pond Solar,-73.983004,41.148946,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,41.148946,28000,6.40326048,HUD VL
Long_Island_Solar_Farm_LLC,-72.850242,40.86572,37.69,NYISO,NY,solar,existing,TRUE,57589,0,0,37.69,1.196507937,40.86572,37690,6.51144861,LONGIL
Macedon,-77.34604,43.058633,2.9,NYISO,NY,solar,existing,TRUE,63407,2,2,2.9,1.45,0,2900,7.149062872,GENESE
Madison County,-75.70098,43.028289,2.4,NYISO,NY,solar,existing,TRUE,61725,0,0,2.4,1.333333333,43.028289,2400,6.387132578,MHK VL
Madison Solar,-75.663575,42.910026,26,NYISO,NY,solar,planned,FALSE,,0,2,,1.3,0,26000,5.903988398,MHK VL
Magruder Solar,-74.150426,41.679812,20,NYISO,NY,solar,planned,TRUE,,0,2,,1,0,20000,6.907512115,HUD VL
Malone Solar Site,-74.30725,44.870858,1.4,NYISO,NY,solar,existing,TRUE,62785,0,0,1.4,1.272727273,44.870858,1400,7.057413787,MHK VL
Manchester Solar,-77.303277,42.856695,28,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,42.856695,28000,5.412570472,GENESE
Marshville Solar,-74.435358,42.900891,28,NYISO,NY,solar,planned,FALSE,,0,2,,1.4,0,28000,6.462947259,CAPITL
Martin Rd Solar,-78.681006,42.244853,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,42.244853,30000,6.284362103,WEST
Mattas Farms,-74.21625,42.893714,2.8,NYISO,NY,solar,existing,TRUE,62303,0,0,2.8,1.4,42.893714,2800,6.905595455,CAPITL
Mereand CSG,-75.98679,43.96414,3,NYISO,NY,solar,existing,TRUE,63058,0,2,3,1.5,0,3000,6.709902197,MHK VL
Mill Point Solar,-74.435358,42.900891,250,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.900891,250000,5.964851428,CAPITL
Millbrook_School,-73.61949,41.84581,1.7,NYISO,NY,solar,existing,TRUE,59789,0,2,1.7,1.214285714,0,1700,6.891986576,HUD VL
Millers Grove Solar,-74.874103,43.163058,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,43.163058,28000,6.389932287,MHK VL
Milliken Solar Project,-76.574587,43.008546,282.3529412,NYISO,NY,solar,planned,FALSE,,0,0,,1.411764706,43.008546,282352.9412,6.373646209,CENTRL
Mineral Basin Solar Power,-78.473749,41.000249,562.24,NYISO,PA,solar,planned,FALSE,,0,0,,1.4,41.000249,562240,6.810329735,WEST
Minisink Community Solar 2 LLC,-74.51528,41.319351,2.8,NYISO,NY,solar,existing,TRUE,62146,0,0,2.8,1,41.319351,2800,7.087251344,HUD VL
