Facility.Name,longi,lati,Capacity,BA,state,type,Group,exactCoord,wind_turbine_hub_ht,wind_turbine_rotor_diameter,rotor_swept_area_m2,manufacturer,model,config,turb_generic_loss,Region
EI_East_Shoreham,-72.692218,40.943554,1300,NYISO,NY,wind,planned,FALSE,40,29,660.52,Fuhrlander,FL250,z40,9.203821667,LONGIL
EI Fort Salonga,-72.692218,40.943554,1300,NYISO,NY,wind,planned,FALSE,78.5,92.5,6720.06,REpower,MM92,mm92,8.273078834,LONGIL
EI Glenwood Landing,-73.589384,40.729687,1300,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.248716454,LONGIL
EI Melville,-72.692218,40.943554,816,NYISO,NY,wind,planned,FALSE,80,82,5281.02,Vestas,V82-1.65,v82_1650,7.583725159,LONGIL
EI Oceanside,-73.589384,40.729687,1000,NYISO,NY,wind,planned,FALSE,80,100,7853.98,GE Wind,GE1.62-100,ge100_1600,9.646872022,LONGIL
EI Oceanside 2,-73.589384,40.729687,1500,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,7.771755265,LONGIL
EI Steinway 1,-73.837929,40.658557,1300,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.460734141,N.Y.C.
EI Steinway 2,-73.837929,40.658557,1300,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.864854218,N.Y.C.
EI Sunset Park,-73.970174,40.776557,816,NYISO,NY,wind,planned,FALSE,65,70.5,3903.63,GE Wind,GE1.5-70.5,ge70_1500,9.506872144,N.Y.C.
Eight Point Wind Energy Center,-77.7058505,42.2573095,101.2,NYISO,NY,wind,planned,FALSE,67,66,3421.19,Vestas,V66-1.65,v66_1650,8.835399791,CENTRL
Fenner_Wind_Power_Project,-75.76103705,42.988455,30,NYISO,NY,wind,existing,TRUE,65,70.5,3903.63,GE Wind,GE1.5-70.5,ge70_1500,9.613246339,MHK VL
Galloo Island Wind,-76.209258,43.461443,110.4,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.559639762,CENTRL
Harbec Plastics,-77.360939,43.226522,1.1,NYISO,NY,wind,existing,TRUE,40,29,660.52,Fuhrlander,FL250,z40,9.648742042,GENESE
Hardscrabble,-74.89501695,43.14359886,74,NYISO,NY,wind,existing,TRUE,100,90,6361.73,Gamesa,G90-2.0,g90,10.037729,MHK VL
Heritage Wind,-78.162476,43.164964,200.1,NYISO,NY,wind,planned,TRUE,80,93,6792.91,Clipper,C93,c93,8.957794068,WEST
High Bridge Wind,-75.426118,42.406724,100.8,NYISO,NY,wind,planned,TRUE,80,96,7238.23,Clipper,C96,c96,8.450374003,MHK VL
High_Sheldon,-78.39379155,42.7440134,112.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.309009108,WEST
Howard,-77.53695222,42.31271204,55.35,NYISO,NY,wind,existing,TRUE,78.5,92.5,6720.06,REpower,MM92,mm92,8.722835325,CENTRL
Jericho_Rise,-74.09657116,44.88308251,77.7,NYISO,NY,wind,existing,TRUE,93,114,10207.03,Gamesa,G114-2.1,g114,9.409880681,NORTH
Lighthouse_Wind,-78.53828,43.334427,201.3,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.220978763,WEST
Long Island Offshore Wind,-72.692218,40.943554,700,NYISO,NY,wind,planned,FALSE,80,93,6792.91,Clipper,C93,c93,9.153590564,LONGIL
Long_Island_Offshore_Wind_Connection,-72.446978,40.735131,300,NYISO,NY,wind,planned,TRUE,94,112,9852.03,Vestas,V112-3.075,v112_3000,9.34076001,LONGIL
Mad River Wind,-75.811718,43.695594,450,NYISO,NY,wind,planned,TRUE,65,47,1734.94,Vestas,V47-0.66,v47_660,9.104032834,MHK VL
Madison_Windpower,-75.45203957,42.89491943,11.55,NYISO,NY,wind,existing,TRUE,67,66,3421.19,Vestas,V66-1.65,v66_1650,9.915864411,MHK VL
Maple_Ridge,-75.58279283,43.77304033,321.75,NYISO,NY,wind,existing,TRUE,80,82,5281.02,Vestas,V82-1.65,v82_1650,9.364703555,MHK VL
Marble River,-73.93881596,44.92812829,215.25,NYISO,NY,wind,existing,TRUE,94,112,9852.03,Vestas,V112-3.075,v112_3000,10.28122739,NORTH
Marsh_Hill,-77.5045769,42.1773228,16.2,NYISO,NY,wind,existing,TRUE,80,103,8332.29,GE Wind,GE1.62-103,ge100_1600,9.412145071,CENTRL
Munnsville,-75.55895891,42.92641278,34.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,10.30082231,MHK VL
New York City Offshore Wind,-73.950777,40.635133,1200,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.745466472,N.Y.C.
Noble_Altona,-73.64967252,44.82063391,97.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.240875333,NORTH
Noble_Bliss,-78.25864031,42.54511716,100.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.621916728,GENESE
Noble Chateaugay,-74.03575996,44.89893903,106.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.590452962,NORTH
Noble Clinton,-73.99393073,44.92135984,100.5,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.640224342,NORTH
Noble_Ellenburg,-73.97373363,44.86983174,81,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.705008483,NORTH
Noble Wethersfield,-78.2608549,42.62293007,126,NYISO,NY,wind,existing,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.528375887,GENESE
North Country Wind,-74.33878,44.592614,298.2,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.037637555,MHK VL
North Ridge Wind,-75.074311,44.488113,100,NYISO,NY,wind,planned,FALSE,65,47,1734.94,Vestas,V47-0.66,v47_660,9.124135542,MHK VL
North Slope Wind,-73.986124,44.681712,200,NYISO,NY,wind,planned,TRUE,95,110,9503.32,Vestas,V110-2.0,v110_2000,7.52706644,MHK VL
Number 3 Wind Energy,-75.442617,43.786397,105.8,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.520980455,MHK VL
NY Wind - East Garden City,-73.589384,40.729687,1325,NYISO,NY,wind,planned,FALSE,80,82,5281.02,Vestas,V82-1.65,v82_1650,8.935006033,LONGIL
NY Wind - Mott Haven,-73.852939,40.848711,1400,NYISO,NY,wind,planned,FALSE,80,93,6792.91,Clipper,C93,c93,9.411092215,N.Y.C.
NY Wind - Pilgrim,-72.692218,40.943554,1325,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.405071225,LONGIL
NY_Wind_Gowanus,-73.990348,40.673337,1200,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.806407464,N.Y.C.
NY_Wind_Holbrook,-73.078443,40.812321,880,NYISO,NY,wind,planned,TRUE,65,70.5,3903.63,GE Wind,GE1.5-70.5,ge70_1500,9.617995357,LONGIL
NY Wind Holbrook 2,-72.692218,40.943554,1974,NYISO,NY,wind,planned,FALSE,93,114,10207.03,Gamesa,G114-2.1,g114,8.858294508,LONGIL
Orangeville_Wind,-78.24060376,42.7461636,93.96,NYISO,NY,wind,existing,TRUE,80,100,7853.98,GE Wind,GE1.62-100,ge100_1600,9.050224244,WEST
Prattsburgh Wind Farm,-77.296818,42.590002,147,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.890719135,CENTRL
Roaring Brook Wind,-75.442617,43.786397,79.7,NYISO,NY,wind,planned,FALSE,80,82,5281.02,Vestas,V82-1.65,v82_1650,8.41076472,MHK VL
Rolling Upland Wind,-75.453581,42.874636,72.6,NYISO,NY,wind,planned,TRUE,67,66,3421.19,Vestas,V66-1.65,v66_1650,9.03829541,MHK VL
South Fork Wind Farm,-72.692218,40.943554,96,NYISO,NY,wind,planned,FALSE,80,103,8332.29,GE Wind,GE1.62-103,ge100_1600,9.124922201,LONGIL
South Fork Wind Farm II,-72.692218,40.943554,40,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.52977712,LONGIL
Steel_Winds,-78.86763562,42.8178915,20,NYISO,NY,wind,existing,TRUE,80,93,6792.91,Clipper,C93,c93,8.663906495,WEST
Steel_Winds_II,-78.861697,42.80724183,15,NYISO,NY,wind,existing,TRUE,80,96,7238.23,Clipper,C96,c96,10.09439675,WEST
Stockbridge Wind,-75.657825,43.070465,72.6,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.063340483,MHK VL
Vineyard Wind I,-73.589384,40.729687,1403,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.148286956,LONGIL
Vineyard Wind II,-72.692218,40.943554,1403,NYISO,NY,wind,planned,FALSE,78.5,92.5,6720.06,REpower,MM92,mm92,8.86159811,LONGIL
Wethersfield,-78.2453368,42.682782,6.6,NYISO,NY,wind,existing,TRUE,65,47,1734.94,Vestas,V47-0.66,v47_660,8.505228452,WEST
Zotos,-76.9679985,42.8866425,3.3,NYISO,NY,wind,existing,TRUE,70,82,5281.02,Hyundai,HQ1650,v82_1650,9.956918048,CENTRL
